Merchant_id,cluster_label
a1_5,0
a1_48,0
a1_56,0
a1_66,0
a1_71,0
a1_74,0
a1_75,0
a1_83,0
a1_101,0
a1_103,0
a1_119,0
a1_120,0
a1_124,0
a1_173,0
a1_189,0
a2_135,0
a2_189,0
a3_0,0
a3_1,0
a3_2,0
a3_3,0
a3_4,0
a3_5,0
a3_6,0
a3_7,0
a3_8,0
a3_9,0
a3_10,0
a3_11,0
a3_12,0
a3_13,0
a3_14,0
a3_15,0
a3_16,0
a3_17,0
a3_18,0
a3_19,0
a3_20,0
a3_21,0
a3_22,0
a3_23,0
a3_24,0
a3_25,0
a3_26,0
a3_27,0
a3_28,0
a3_29,0
a3_30,0
a3_31,0
a3_32,0
a3_33,0
a3_34,0
a3_35,0
a3_37,0
a3_38,0
a3_39,0
a3_40,0
a3_41,0
a3_43,0
a3_44,0
a3_45,0
a3_46,0
a3_47,0
a3_49,0
a3_51,0
a3_52,0
a3_53,0
a3_54,0
a3_56,0
a3_57,0
a3_58,0
a3_59,0
a3_60,0
a3_61,0
a3_62,0
a3_63,0
a3_64,0
a3_65,0
a3_66,0
a3_67,0
a3_68,0
a3_69,0
a3_70,0
a3_71,0
a3_72,0
a3_73,0
a3_74,0
a3_75,0
a3_76,0
a3_77,0
a3_78,0
a3_79,0
a3_80,0
a3_81,0
a3_82,0
a3_83,0
a3_84,0
a3_85,0
a3_87,0
a3_88,0
a3_89,0
a3_90,0
a3_91,0
a3_92,0
a3_94,0
a3_95,0
a3_96,0
a3_97,0
a3_98,0
a3_99,0
a3_100,0
a3_101,0
a3_102,0
a3_103,0
a3_104,0
a3_105,0
a3_106,0
a3_107,0
a3_108,0
a3_109,0
a3_110,0
a3_111,0
a3_112,0
a3_113,0
a3_114,0
a3_115,0
a3_116,0
a3_118,0
a3_119,0
a3_120,0
a3_121,0
a3_122,0
a3_123,0
a3_124,0
a3_125,0
a3_126,0
a3_127,0
a3_128,0
a3_129,0
a3_130,0
a3_131,0
a3_132,0
a3_133,0
a3_134,0
a3_135,0
a3_136,0
a3_137,0
a3_138,0
a3_139,0
a3_140,0
a3_141,0
a3_142,0
a3_143,0
a3_144,0
a3_145,0
a3_146,0
a3_148,0
a3_149,0
a3_150,0
a3_151,0
a3_152,0
a3_153,0
a3_154,0
a3_155,0
a3_156,0
a3_158,0
a3_159,0
a3_160,0
a3_161,0
a3_162,0
a3_163,0
a3_164,0
a3_165,0
a3_166,0
a3_167,0
a3_168,0
a3_169,0
a3_170,0
a3_171,0
a3_172,0
a3_173,0
a3_174,0
a3_175,0
a3_176,0
a3_177,0
a3_178,0
a3_179,0
a3_181,0
a3_182,0
a3_183,0
a3_184,0
a3_185,0
a3_186,0
a3_187,0
a3_188,0
a3_189,0
a3_190,0
a3_191,0
a3_192,0
a3_193,0
a3_196,0
a3_197,0
a3_198,0
a3_199,0
a2_0,1
a2_1,1
a2_2,1
a2_3,1
a2_4,1
a2_5,1
a2_6,1
a2_7,1
a2_8,1
a2_9,1
a2_10,1
a2_11,1
a2_12,1
a2_13,1
a2_14,1
a2_15,1
a2_16,1
a2_17,1
a2_18,1
a2_19,1
a2_20,1
a2_21,1
a2_22,1
a2_23,1
a2_24,1
a2_25,1
a2_26,1
a2_27,1
a2_28,1
a2_29,1
a2_30,1
a2_31,1
a2_32,1
a2_33,1
a2_34,1
a2_35,1
a2_36,1
a2_37,1
a2_38,1
a2_39,1
a2_40,1
a2_41,1
a2_42,1
a2_43,1
a2_44,1
a2_46,1
a2_47,1
a2_48,1
a2_49,1
a2_50,1
a2_51,1
a2_52,1
a2_53,1
a2_54,1
a2_55,1
a2_57,1
a2_58,1
a2_59,1
a2_60,1
a2_61,1
a2_63,1
a2_64,1
a2_65,1
a2_66,1
a2_67,1
a2_68,1
a2_69,1
a2_70,1
a2_71,1
a2_72,1
a2_73,1
a2_74,1
a2_75,1
a2_76,1
a2_77,1
a2_78,1
a2_79,1
a2_80,1
a2_81,1
a2_82,1
a2_83,1
a2_84,1
a2_85,1
a2_86,1
a2_87,1
a2_88,1
a2_89,1
a2_90,1
a2_91,1
a2_92,1
a2_93,1
a2_94,1
a2_95,1
a2_97,1
a2_98,1
a2_99,1
a2_100,1
a2_101,1
a2_102,1
a2_103,1
a2_104,1
a2_105,1
a2_106,1
a2_107,1
a2_108,1
a2_109,1
a2_110,1
a2_111,1
a2_112,1
a2_113,1
a2_114,1
a2_115,1
a2_116,1
a2_117,1
a2_118,1
a2_119,1
a2_120,1
a2_121,1
a2_122,1
a2_123,1
a2_124,1
a2_125,1
a2_126,1
a2_127,1
a2_128,1
a2_129,1
a2_130,1
a2_131,1
a2_132,1
a2_133,1
a2_134,1
a2_136,1
a2_137,1
a2_138,1
a2_139,1
a2_140,1
a2_141,1
a2_142,1
a2_143,1
a2_144,1
a2_145,1
a2_146,1
a2_147,1
a2_148,1
a2_149,1
a2_150,1
a2_151,1
a2_152,1
a2_153,1
a2_154,1
a2_155,1
a2_156,1
a2_157,1
a2_158,1
a2_159,1
a2_160,1
a2_161,1
a2_162,1
a2_163,1
a2_164,1
a2_165,1
a2_166,1
a2_167,1
a2_168,1
a2_169,1
a2_170,1
a2_171,1
a2_172,1
a2_173,1
a2_174,1
a2_175,1
a2_176,1
a2_177,1
a2_178,1
a2_179,1
a2_180,1
a2_181,1
a2_182,1
a2_183,1
a2_184,1
a2_185,1
a2_186,1
a2_187,1
a2_188,1
a2_190,1
a2_191,1
a2_192,1
a2_193,1
a2_194,1
a2_195,1
a2_196,1
a2_197,1
a2_198,1
a2_199,1
a3_48,1
a3_195,1
a1_0,2
a1_1,2
a1_2,2
a1_3,2
a1_4,2
a1_6,2
a1_7,2
a1_8,2
a1_9,2
a1_10,2
a1_11,2
a1_12,2
a1_13,2
a1_14,2
a1_15,2
a1_16,2
a1_17,2
a1_18,2
a1_19,2
a1_20,2
a1_21,2
a1_22,2
a1_23,2
a1_24,2
a1_25,2
a1_26,2
a1_27,2
a1_28,2
a1_29,2
a1_30,2
a1_31,2
a1_32,2
a1_33,2
a1_34,2
a1_35,2
a1_36,2
a1_37,2
a1_38,2
a1_39,2
a1_40,2
a1_41,2
a1_42,2
a1_43,2
a1_44,2
a1_45,2
a1_46,2
a1_47,2
a1_49,2
a1_50,2
a1_51,2
a1_52,2
a1_53,2
a1_54,2
a1_55,2
a1_57,2
a1_58,2
a1_59,2
a1_60,2
a1_61,2
a1_62,2
a1_63,2
a1_64,2
a1_65,2
a1_67,2
a1_68,2
a1_69,2
a1_70,2
a1_72,2
a1_73,2
a1_76,2
a1_77,2
a1_78,2
a1_79,2
